course_id,yards_from_pin,into_hole
14900,622.05,0
14900,499.24,0
14900,64.41,0
14900,504.21,0
14900,418.14,0
14900,298.25,0
14900,319.96,0
14900,492.7,0
14900,322.99,0
14900,345.87,0
14900,250.25,0
14900,194.62,0
14900,321.66,0
14900,424.43,0
14900,403.03,0
14900,487.17,0
14900,424.05,0
14900,299.36,0
14900,1.32,0
14900,229.73,0
14900,854.05,0
14900,432.62,0
14900,64.28,0
14900,350.61,0
14900,266.5,0
14900,488.65,0
14900,372.13,0
14900,266.32,0
14900,324.81,0
14900,337.12,0
14900,218.35,0
14900,53.93,0
14900,61.53,0
14900,295.49,0
14900,89.05,0
14900,344.47,0
14900,503.84,0
14900,46.78,0
14900,203.44,0
14900,226.66,0
14900,389.96,0
14900,439.18,0
14900,161.29,0
14900,315.04,0
14900,250.93,0
14900,165.68,0
14900,452.5,0
14900,164.88,0
14900,369.64,0
14900,394.58,0
14900,14.6,0
14900,5.44,0
14900,411.93,0
14900,320.45,0
14900,525.23,0
14900,16.05,0
14900,469.82,0
14900,464.37,0
14900,343.69,0
14900,424.97,0
14900,1.43,0
14900,89.22,0
14900,198.4,0
14900,169.31,0
14900,497.05,0
14900,494.85,0
14900,255.38,0
14900,35.07,0
14900,206.46,0
14900,185.07,0
14900,422.91,0
14900,94.26,0
14900,200.4,0
14900,339.01,0
14900,351.64,0
14900,185.07,0
14900,274.9,0
14900,324.71,0
14900,317.53,0
14900,283.86,0
14900,183,0
14900,110.27,0
14900,350.38,0
14900,586.9,0
14900,373.05,0
14900,413.89,0
14900,74.27,0
14900,502.15,0
14900,478.76,0
14900,356.22,0
14900,29.56,0
14900,476.17,0
14900,278.26,0
14900,315.7,0
14900,854.05,0
14900,487.86,0
14900,525.5,0
14900,238.83,0
14900,96.05,0
14900,260.64,0
14900,252.96,0
14900,395.27,0
14900,335.13,0
14900,358.77,0
14900,331.96,0
14900,248.09,0
14900,449.82,0
14900,415.43,0
14900,8.12,0
14900,379.98,0
14900,493.24,0
14900,253.99,0
14900,245.27,0
14900,17.22,0
14900,179.12,0
14900,145.47,0
14900,235.72,0
14900,310.65,0
14900,424.35,0
14900,372.24,0
14900,177.68,0
14900,335.96,0
14900,273.99,0
14900,219.39,0
14900,330.15,0
14900,237,0
14900,21.28,0
14900,279.15,0
14900,357.43,0
14900,28.32,0
14900,12.21,0
14900,412.37,0
14900,372.83,0
14900,206.93,0
14900,259.76,0
14900,277.67,0
14900,276.11,0
14900,13.41,0
14900,522.6,0
14900,598.01,0
14900,459.34,0
14900,320.92,0
14900,316.69,0
14900,269.16,0
14900,258.62,0
